时间,类型,城市,城市ID,空气质量,空气质量核减,空气质量变化
1/15/2017,1,30,30,95,,
1/15/2017,1,31,31,35,,
1/15/2017,1,32,32,35,,
1/15/2017,1,33,33,46,,
1/15/2017,1,34,34,43,,
1/15/2017,1,35,35,87,,
1/15/2017,1,36,36,28,,
1/15/2017,1,37,37,21,,
1/15/2017,1,38,38,91,,
1/15/2017,1,39,39,187,,
1/15/2017,1,40,40,114,,
1/15/2017,1,41,41,43,,
1/15/2017,1,42,42,59,,
1/15/2017,1,43,43,28,,
1/15/2017,1,44,44,39,,
1/15/2017,1,45,45,69,,
1/15/2017,1,46,46,228,,
1/15/2017,1,47,47,89,,
1/15/2017,1,48,48,94,,
1/15/2017,1,49,49,134,,
1/15/2017,1,50,50,238,,
1/16/2017,1,1,1,122,,
1/16/2017,1,2,2,87,,
1/16/2017,1,3,3,231,,
1/16/2017,1,4,4,75,,
1/16/2017,1,5,5,323,,
1/16/2017,1,6,6,167,,
1/16/2017,1,7,7,142,,
1/16/2017,1,8,8,143,,
1/16/2017,1,9,9,58,,
1/16/2017,1,10,10,178,,
1/16/2017,1,11,11,216,,
1/16/2017,1,12,12,229,,
1/16/2017,1,13,13,29,,
1/16/2017,1,14,14,57,,
1/16/2017,1,15,15,92,,
1/16/2017,1,16,16,40,,
1/16/2017,1,17,17,59,,
1/16/2017,1,18,18,37,,
1/16/2017,1,19,19,66,,
1/16/2017,1,20,20,43,,
1/16/2017,1,21,21,33,,
1/16/2017,1,22,22,26,,
1/16/2017,1,23,23,70,,
1/16/2017,1,24,24,138,,
1/16/2017,1,25,25,71,,
1/16/2017,1,26,26,111,,
1/16/2017,1,27,27,199,,
1/16/2017,1,28,28,95,,
1/16/2017,1,29,29,79,,
1/16/2017,1,30,30,92,,
1/16/2017,1,31,31,42,,
1/16/2017,1,32,32,38,,
1/16/2017,1,33,33,50,,
1/16/2017,1,34,34,63,,
1/16/2017,1,35,35,114,,
1/16/2017,1,36,36,24,,
1/16/2017,1,37,37,26,,
1/16/2017,1,38,38,81,,
1/16/2017,1,39,39,132,,
1/16/2017,1,40,40,98,,
1/16/2017,1,41,41,65,,
1/16/2017,1,42,42,49,,
1/16/2017,1,43,43,27,,
1/16/2017,1,44,44,34,,
1/16/2017,1,45,45,84,,
1/16/2017,1,46,46,311,,
1/16/2017,1,47,47,80,,
1/16/2017,1,48,48,79,,
1/16/2017,1,49,49,91,,
1/16/2017,1,50,50,322,,
1/17/2017,1,1,1,178,,
1/17/2017,1,2,2,162,,
1/17/2017,1,3,3,264,,
1/17/2017,1,4,4,141,,
1/17/2017,1,5,5,132,,
1/17/2017,1,6,6,69,,
1/17/2017,1,7,7,96,,
1/17/2017,1,8,8,194,,
1/17/2017,1,9,9,110,,
1/17/2017,1,10,10,204,,
1/17/2017,1,11,11,307,,
1/17/2017,1,12,12,318,,
1/17/2017,1,13,13,56,,
1/17/2017,1,14,14,65,,
1/17/2017,1,15,15,98,,
1/17/2017,1,16,16,78,,
1/17/2017,1,17,17,84,,
1/17/2017,1,18,18,83,,
1/17/2017,1,19,19,71,,
1/17/2017,1,20,20,48,,
1/17/2017,1,21,21,37,,
1/17/2017,1,22,22,35,,
1/17/2017,1,23,23,75,,
1/17/2017,1,24,24,154,,
1/17/2017,1,25,25,75,,
1/17/2017,1,26,26,237,,
1/17/2017,1,27,27,305,,
1/17/2017,1,28,28,93,,
1/17/2017,1,29,29,82,,
1/17/2017,1,30,30,146,,
1/17/2017,1,31,31,44,,
1/17/2017,1,32,32,43,,
1/17/2017,1,33,33,71,,
1/17/2017,1,34,34,35,,
1/17/2017,1,35,35,75,,
1/17/2017,1,36,36,47,,
1/17/2017,1,37,37,32,,
1/17/2017,1,38,38,105,,
1/17/2017,1,39,39,142,,
1/17/2017,1,40,40,94,,
1/17/2017,1,41,41,50,,
1/17/2017,1,42,42,53,,
1/17/2017,1,43,43,26,,
1/17/2017,1,44,44,37,,
1/17/2017,1,45,45,64,,
1/17/2017,1,46,46,328,,
1/17/2017,1,47,47,69,,
1/17/2017,1,48,48,74,,
1/17/2017,1,49,49,82,,
